frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
1, 0, 0.555, 0.98, 1, 46.567, 31.947, -742.4, -486.1, 1589.9, 36.332, -47.881, 28.790
2, 0, 0.870, 0.98, 1, 46.550, 33.515, -746.3, -488.4, 1596.1, 37.823, -47.364, 30.888
3, 0, 0.923, 0.98, 1, 49.123, 34.279, -743.9, -485.4, 1584.9, 39.404, -50.922, 30.217
4, 0, 0.978, 0.93, 1, 49.814, 33.588, -746.4, -489.1, 1589.1, 38.471, -52.086, 27.907
5, 0, 1.024, 0.98, 1, 51.357, 30.088, -747.5, -496.8, 1594.3, 32.800, -55.424, 22.157
6, 0, 1.076, 0.88, 1, 51.287, 27.792, -749.5, -501.6, 1599.5, 29.446, -55.874, 18.371
7, 0, 1.128, 0.88, 1, 51.974, 26.478, -761.4, -515.8, 1627.7, 26.742, -57.160, 16.892
8, 0, 1.179, 0.88, 1, -8.824, 32.445, 236.2, -260.9, 641.2, 27.403, 4.911, 5.031
9, 0, 1.505, 0.98, 1, -6.531, 34.183, 229.7, -248.9, 614.7, 28.309, 1.488, 6.566
10, 0, 1.556, 0.98, 1, -3.046, 33.156, 232.2, -255.4, 617.0, 26.911, -2.903, 6.281
11, 0, 1.614, 0.98, 1, -3.239, 34.415, 230.2, -252.5, 612.5, 28.532, -2.495, 6.926
12, 0, 1.705, 0.98, 1, -3.598, 35.406, 229.1, -250.0, 613.3, 30.048, -1.977, 7.441
13, 0, 1.759, 0.98, 1, -3.173, 35.400, 228.7, -251.3, 615.8, 30.135, -2.685, 7.681
14, 0, 1.812, 0.98, 1, -2.964, 35.044, 228.2, -253.4, 617.3, 29.854, -3.089, 7.802
15, 0, 1.862, 0.98, 1, -3.080, 34.898, 227.2, -254.0, 617.0, 29.774, -2.981, 7.568
16, 0, 1.910, 0.98, 1, -3.278, 34.732, 225.9, -252.8, 613.9, 29.626, -2.588, 7.317
17, 0, 1.963, 0.98, 1, -3.473, 34.562, 225.4, -251.9, 611.8, 29.347, -2.483, 7.192
18, 0, 2.016, 0.98, 1, -3.389, 34.521, 225.3, -251.2, 610.4, 29.230, -2.572, 7.000
19, 0, 2.065, 0.98, 1, -3.385, 34.486, 225.7, -250.9, 610.1, 29.121, -2.553, 7.023
20, 0, 2.121, 0.98, 1, -3.287, 34.630, 225.8, -250.7, 610.1, 29.245, -2.561, 6.938
21, 0, 2.177, 0.98, 1, -3.334, 34.577, 226.0, -251.3, 611.1, 29.257, -2.568, 7.057
22, 0, 2.228, 0.98, 1, -3.394, 34.331, 225.8, -251.9, 611.8, 29.094, -2.502, 7.079
23, 0, 2.274, 0.98, 1, -3.519, 34.314, 225.2, -251.7, 610.6, 29.135, -2.411, 6.886
24, 0, 2.325, 0.98, 1, -3.417, 34.521, 224.7, -251.3, 609.2, 29.189, -2.543, 6.622
25, 0, 2.375, 0.98, 1, -3.448, 34.347, 224.6, -251.0, 608.7, 28.956, -2.442, 6.517
26, 0, 2.428, 0.98, 1, -3.478, 34.735, 224.6, -250.8, 608.3, 29.318, -2.505, 6.411
27, 0, 2.472, 0.98, 1, -3.334, 34.433, 224.5, -250.5, 608.0, 29.048, -2.470, 6.550
28, 0, 2.523, 0.98, 1, -3.404, 34.443, 224.3, -250.5, 607.9, 29.091, -2.456, 6.534
29, 0, 2.572, 0.98, 1, -3.564, 34.420, 224.3, -251.0, 608.9, 29.037, -2.238, 6.599
30, 0, 2.621, 0.98, 1, -3.627, 34.506, 223.8, -250.7, 608.0, 29.146, -2.121, 6.445
31, 0, 2.674, 0.98, 1, -3.748, 34.414, 223.4, -250.5, 607.4, 29.012, -1.963, 6.454
32, 0, 2.723, 0.98, 1, -3.868, 34.260, 223.3, -250.5, 607.3, 28.932, -1.766, 6.367
33, 0, 2.773, 0.98, 1, -3.850, 34.288, 223.2, -250.3, 607.0, 28.962, -1.850, 6.499
34, 0, 2.823, 0.98, 1, -3.772, 34.311, 223.3, -250.3, 607.1, 28.882, -1.925, 6.434
35, 0, 2.871, 0.98, 1, -3.764, 34.351, 223.1, -249.8, 606.2, 28.852, -1.889, 6.401
